,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Rank
6058,AP3B1,30483208.58143969,-0.0107090124955679,0.1230079931809186,-0.087059484661434,0.9306242296180608,0.9389796554056364,-0.00029282528180607476
6059,APOD,13557168.094324166,-0.0133992515499014,0.1900616683974182,-0.0704994945213451,0.9437961028642828,0.9506102324036348,-0.00029475024036468457
6060,STX8,26548864.576091688,-0.0099391258209019,0.1049035074951858,-0.0947454099316752,0.9245170482750024,0.9338268487777716,-0.0002955264256025286
6061,NUP155,5479841.552730816,-0.0143048376822047,0.1877477436891975,-0.0761917954438127,0.9392665100039468,0.9465978271126716,-0.0003409486076323739
6062,MALT1,4523452.893682812,-0.0161725265149109,0.2314758959982849,-0.0698670003853482,0.944299518798838,0.9510383586143472,-0.0003525928753878281
6063,SUMO1,76961617.5668423,-0.0116550201637653,0.1198473105411415,-0.0972489087251101,0.9225287285313424,0.932128802712696,-0.0003557586763872468
6064,DES,1083724152.3417945,-0.0124334533831282,0.1303785231247191,-0.0953642753817243,0.9240254908335732,0.93340802182664,-0.0003721142496669895
6065,SRPR,70154366.17069197,-0.0115955401390222,0.10348232699899,-0.1120533377562665,0.9107811154101012,0.9219474893855212,-0.0004092508368973891
6066,MARK3,33456655.58166417,-0.0138844579560765,0.1401653789028964,-0.0990576850343009,0.9210924692363456,0.9309876165157832,-0.00043119705538893695
6067,GTF3C3,6028983.614891498,-0.0126256388226292,0.1125658530636923,-0.1121622452901888,0.91069476411714,0.9219369715647452,-0.00044566950290733306
6068,UTP3,24786164.199770924,-0.0148749499592916,0.1555791470811086,-0.0956101780885636,0.9238301812912184,0.933288406053897,-0.00044601242203044875
6069,BORCS6,14237503.514635324,-0.0139455998166549,0.1362060538301801,-0.1023860498450538,0.9184502560906576,0.9287810996644152,-0.00044746731405231936
6070,N4BP2,3868320.495716426,-0.018505159697714,0.2374427201889052,-0.0779352581666504,0.9378795527328808,0.9455140901668724,-0.00045026745066886086
6071,USP4,56905055.04300007,-0.0154794178838394,0.1607368088960857,-0.0963028816495087,0.9232800225013428,0.9328102583117286,-0.00046758192369199036
6072,EMC3,64060223.50399283,-0.011517155602269,0.084437827866113,-0.1363980563371541,0.8915066101375682,0.9049273000953136,-0.0004996868795235246
6073,SUMO2,182668364.3906597,-0.0087224646415153,0.0490348890260981,-0.1778828261826575,0.8588149984621789,0.8758455286392292,-0.0005021739459369162
6074,EPS8L2,2368245.30707921,-0.0243370056080162,0.3442723154302727,-0.0706911491782306,0.94364356514782,0.9505354759896332,-0.0005361848692768243
6075,APBB3,10859345.353688514,-0.0184023091596571,0.1956162307645741,-0.0940735290099955,0.9250507478994652,0.9342104282955408,-0.0005438855678592254
